ProteinIdx,MoleculeIdx,Ki
1,0,6.7
1,4,5.9
1,5,6.4
1,6,6.5
1,8,5.0
1,9,6.3
1,10,6.7
1,12,7.0
1,14,7.0
1,20,5.7
1,25,6.7
1,77,7.2
1,80,8.4
1,81,8.6
1,83,8.7
1,84,7.7
1,85,6.2
1,86,7.7
1,87,7.9
1,88,8.0
1,89,8.3
1,90,7.0
1,91,6.7
1,93,6.7
1,94,8.0
1,95,7.5
1,96,8.2
1,97,8.1
1,98,8.2
1,99,7.9
1,100,8.0
1,101,6.8
1,104,7.8
1,105,8.4
1,107,8.3
1,108,8.9
1,111,8.0
1,112,9.5
1,114,8.1
1,116,8.8
1,117,8.5
1,118,8.6
1,119,8.4
1,120,8.8
1,121,8.7
1,122,8.5
1,123,7.4
1,124,8.6
1,126,7.6
1,127,7.8
1,129,8.5
1,130,8.0
1,131,8.6
1,132,7.5
1,133,6.7
1,134,8.6
1,135,6.3
1,136,7.7
1,139,8.4
1,140,7.8
1,142,7.3
1,143,7.2
1,144,9.0
1,145,7.6
1,147,8.3
1,151,5.9
1,159,8.4
1,163,7.5
1,164,6.0
1,167,6.1
1,168,8.5
1,170,7.8
1,171,6.5
1,174,8.2
1,175,8.2
1,178,9.1
1,179,8.8
1,181,9.5
1,183,6.5
1,185,5.9
1,186,8.7
1,187,6.4
1,188,7.2
1,189,8.7
1,199,6.2
1,201,7.2
1,202,7.8
1,204,6.3
1,214,7.5
1,215,6.1
1,216,6.0
1,218,6.1
1,222,6.8
1,224,6.9
1,225,7.1
1,226,5.9
1,237,4.4
1,239,6.8
1,241,8.7
1,246,6.7
1,256,6.2
1,260,5.6
1,278,5.8
1,294,6.5
1,384,6.3
1,385,6.5
1,389,6.4
1,390,8.2
1,392,5.8
1,393,6.8
1,394,6.6
1,395,6.5
1,401,7.1
1,426,6.0
1,430,8.3
1,431,6.1
1,435,6.4
1,465,6.1
1,466,6.4
1,470,6.0
1,487,5.6
1,503,5.9
1,511,4.5
1,515,7.2
1,518,6.7
1,558,6.4
1,559,6.2
1,560,7.2
1,561,7.0
1,563,6.2
1,569,5.9
1,571,7.3
1,573,5.6
1,581,6.0
1,586,8.5
1,587,7.8
1,590,5.6
1,593,6.6
1,594,6.4
1,626,5.7
