ProteinIdx,MoleculeIdx,Ki
0,1,8.1
0,3,8.4
0,4,5.8
0,5,7.4
0,8,4.9
0,9,7.4
0,11,7.4
0,12,8.3
0,15,5.9
0,16,6.2
0,17,7.8
0,18,7.3
0,19,6.0
0,20,5.9
0,21,6.7
0,22,5.3
0,24,6.4
0,25,6.1
0,26,7.8
0,28,7.5
0,29,7.8
0,30,7.7
0,33,7.8
0,34,7.5
0,35,7.3
0,36,7.8
0,37,7.4
0,40,8.5
0,43,8.4
0,48,6.4
0,49,6.2
0,63,6.8
0,64,6.1
0,67,6.6
0,71,5.8
0,78,5.5
0,82,5.2
0,83,5.2
0,84,5.4
0,87,5.5
0,88,5.5
0,91,5.4
0,92,6.1
0,102,5.8
0,103,5.8
0,107,5.9
0,109,5.7
0,110,6.4
0,114,5.4
0,117,5.7
0,120,5.6
0,128,5.7
0,129,5.7
0,135,5.3
0,137,5.2
0,140,5.4
0,141,6.1
0,144,5.2
0,145,5.7
0,151,5.2
0,152,6.1
0,153,6.0
0,155,5.1
0,156,5.8
0,161,5.7
0,162,5.9
0,163,5.6
0,164,6.2
0,166,6.0
0,170,5.8
0,171,6.5
0,200,6.6
0,201,7.3
0,202,6.6
0,209,6.9
0,218,5.1
0,236,7.8
0,237,4.8
0,238,5.3
0,243,5.5
0,244,6.0
0,253,6.0
0,255,5.7
0,258,7.0
0,259,6.5
0,263,8.0
0,268,6.9
0,271,8.3
0,275,6.8
0,276,7.0
0,277,8.5
0,278,6.3
0,279,8.6
0,280,5.5
0,281,5.5
0,294,7.9
0,296,6.5
0,299,6.9
0,301,7.9
0,305,6.9
0,308,5.4
0,310,5.5
0,311,7.2
0,312,6.5
0,314,7.5
0,315,7.5
0,316,5.2
0,320,6.9
0,321,6.2
0,325,7.4
0,327,7.6
0,334,6.6
0,336,7.1
0,337,5.7
0,338,5.3
0,339,5.4
0,340,5.2
0,344,5.3
0,347,5.8
0,349,5.4
0,367,5.5
0,381,6.0
0,382,6.6
0,383,7.8
0,385,6.0
0,386,7.5
0,387,6.4
0,389,7.6
0,390,6.4
0,392,6.3
0,393,7.7
0,394,5.7
0,395,6.2
0,396,8.4
0,405,6.7
0,422,7.0
0,423,7.5
0,424,6.3
0,425,5.5
0,426,5.8
0,428,5.5
0,433,6.7
0,435,8.3
0,443,7.7
0,444,6.1
0,445,6.1
0,447,5.4
0,449,5.8
0,450,6.3
0,451,5.3
0,459,6.4
0,462,6.3
0,463,5.8
0,464,6.1
0,466,5.1
0,467,6.9
0,468,5.5
0,470,5.3
0,471,6.0
0,472,5.1
0,482,5.6
0,491,5.3
0,492,5.3
0,511,7.2
0,512,7.0
0,513,6.8
0,514,5.5
0,515,6.2
0,520,5.3
0,522,6.2
0,525,7.6
0,526,6.3
0,534,6.3
0,559,5.4
0,562,5.6
0,568,5.1
0,573,6.3
0,581,6.0
0,582,5.5
0,584,5.2
0,586,5.4
0,587,5.2
0,593,8.3
0,594,6.2
0,595,5.7
0,599,5.5
0,600,5.5
0,626,4.4
0,628,5.6
0,631,5.9
0,639,4.6
0,641,5.5
0,642,6.5
0,643,5.7
0,646,5.5
0,656,7.0
0,658,5.3
0,659,6.2
0,661,5.5
0,663,6.1
0,666,5.6
0,667,5.1
0,668,5.7
0,675,6.5
0,676,6.4
0,678,5.7
0,694,6.2
0,705,6.4
0,712,5.8
0,718,7.3
0,728,5.2
0,729,5.9
0,730,6.0
0,736,5.4
0,747,5.9
0,748,6.3
0,751,6.9
0,758,5.2
0,760,5.6
0,761,5.6
0,768,5.3
0,770,5.2
0,787,6.0
0,790,5.7
0,795,6.0
0,797,7.0
0,801,4.8
0,806,5.5
0,807,5.8
0,814,7.0
0,815,5.3
0,836,6.4
0,837,6.9
0,838,6.4
0,839,6.6
0,841,5.5
0,844,6.1
0,845,5.3
0,849,6.6
0,859,5.5
0,861,5.3
0,862,5.3
0,864,5.1
0,867,6.3
0,873,6.0
0,877,6.2
0,879,6.6
0,880,5.2
0,882,4.6
0,885,6.3
0,896,5.7
0,897,5.8
0,903,5.3
0,904,5.8
0,913,5.5
0,917,5.8
0,922,5.8
0,924,6.6
0,925,5.3
0,945,5.5
0,962,6.9
0,964,6.4
0,965,6.7
0,966,6.3
0,967,6.6
0,969,5.9
0,970,5.4
0,972,5.5
0,986,6.9
0,993,6.4
0,994,6.8
0,1005,7.3
0,1006,6.7
0,1008,5.9
0,1019,5.2
0,1022,5.5
0,1025,5.2
0,1028,5.7
0,1029,4.7
0,1030,5.7
0,1036,4.3
0,1038,6.7
0,1049,5.2
0,1051,4.3
0,1056,5.3
0,1060,5.1
0,1062,6.3
0,1063,6.0
0,1072,5.1
0,1076,6.0
0,1080,5.6
0,1104,7.1
0,1105,6.2
0,1126,5.9
0,1127,6.6
0,1133,6.6
0,1135,6.6
0,1154,6.1
0,1156,7.1
0,1161,6.1
0,1182,5.6
0,1197,5.3
0,1199,4.4
0,1205,5.2
0,1207,5.8
0,1208,4.3
0,1209,4.3
0,1218,5.7
0,1219,6.1
0,1220,4.1
0,1224,5.2
0,1227,5.1
0,1234,6.5
0,1238,6.3
0,1239,5.2
0,1242,5.1
0,1245,4.7
0,1254,5.3
0,1255,7.2
0,1273,4.5
0,1276,7.7
0,1280,6.6
0,1289,5.1
0,1294,5.3
0,1299,6.2
0,1302,5.7
0,1307,6.0
0,1312,6.3
0,1318,5.4
0,1330,5.7
0,1342,6.1
0,1343,6.0
0,1345,6.4
0,1347,5.6
0,1348,5.9
0,1351,4.4
0,1353,5.7
0,1356,6.2
0,1358,6.1
0,1377,5.1
0,1379,7.1
0,1391,4.4
0,1392,4.5
0,1393,6.1
0,1397,5.6
0,1405,6.7
0,1406,6.0
0,1412,6.2
0,1413,5.6
0,1421,6.9
1,1,6.9
1,3,6.8
1,4,5.9
1,5,6.4
1,8,5.0
1,9,6.3
1,10,6.7
1,12,7.0
1,14,7.0
1,20,5.7
1,25,6.7
1,76,8.3
1,77,7.2
1,78,7.4
1,79,8.5
1,80,8.4
1,82,8.7
1,83,8.7
1,84,7.7
1,86,7.7
1,87,7.9
1,88,8.0
1,89,8.3
1,90,7.0
1,91,6.7
1,92,7.8
1,95,7.5
1,96,8.2
1,97,8.1
1,98,8.2
1,99,7.9
1,100,8.0
1,102,8.2
1,103,6.9
1,106,9.2
1,107,8.3
1,108,8.9
1,109,7.5
1,110,8.1
1,112,9.5
1,113,8.8
1,114,8.1
1,115,8.6
1,116,8.8
1,117,8.5
1,118,8.6
1,119,8.4
1,120,8.8
1,121,8.7
1,122,8.5
1,123,7.4
1,124,8.6
1,126,7.6
1,128,7.4
1,129,8.5
1,130,8.0
1,131,8.6
1,132,7.5
1,134,8.6
1,135,6.3
1,140,7.8
1,141,7.1
1,142,7.3
1,144,9.0
1,145,7.6
1,146,8.1
1,151,5.9
1,156,6.3
1,158,5.8
1,163,7.5
1,164,6.0
1,168,8.5
1,170,7.8
1,171,6.5
1,172,6.9
1,174,8.2
1,175,8.2
1,176,7.6
1,177,9.0
1,178,9.1
1,179,8.8
1,180,8.9
1,183,6.5
1,185,5.9
1,186,8.7
1,187,6.4
1,188,7.2
1,189,8.7
1,200,7.6
1,201,7.2
1,202,7.8
1,215,6.1
1,216,6.0
1,218,6.1
1,223,6.2
1,224,6.9
1,225,7.1
1,226,5.9
1,227,5.9
1,228,6.2
1,236,7.5
1,237,4.4
1,239,6.8
1,240,9.2
1,241,8.7
1,278,5.8
1,294,6.5
1,354,5.6
1,382,6.8
1,385,6.5
1,386,7.9
1,387,6.5
1,389,6.4
1,390,8.2
1,392,5.8
1,393,6.8
1,394,6.6
1,395,6.5
1,426,6.0
1,431,6.1
1,435,6.4
1,442,4.8
1,464,7.4
1,466,6.4
1,470,6.0
1,471,6.3
1,472,5.7
1,487,5.6
1,511,4.5
1,515,7.2
1,518,6.7
1,559,6.2
1,560,7.2
1,563,6.2
1,569,5.9
1,573,5.6
1,581,6.0
1,586,8.5
1,587,7.8
1,590,5.6
1,591,6.4
1,593,6.6
1,594,6.4
1,626,5.7
1,628,7.6
1,629,6.8
1,631,6.0
1,632,7.5
1,659,6.0
1,675,6.5
1,682,5.7
1,683,5.6
1,685,5.8
1,693,5.9
